duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,is_intrusion
,,,,,,,,,,,,,,,,,,,,,,
0,tcp,http,SF,302,896,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,339,1588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,260,7334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,213,8679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,308,1658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,230,505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,221,445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,329,2431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,271,688,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,326,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,181,470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,227,356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,214,480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,227,356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,237,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,tcp,http,SF,336,442,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,378,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,199,2543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,264,556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,197,5720,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,241,1572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,294,5615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,230,14135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,174,4895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,219,2276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,254,307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,199,654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,233,11283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,216,767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,348,15298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,278,8478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,tcp,smtp,SF,997,324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,udp,domain_u,SF,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,tcp,smtp,SF,670,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,tcp,ftp,SF,314,1054,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0
0,tcp,http,SF,226,3758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,215,2659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,smtp,SF,1133,336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,ftp_data,SF,1690,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,udp,domain_u,SF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,udp,domain_u,SF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,257,2313,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,225,2302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,305,4296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,217,4019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,366,633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,177,12021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,204,2006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,182,6493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,163,364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,230,254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,278,2506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,197,6356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,215,354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tcp,http,SF,277,7039,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
